metric,n,mean,stdev,rho_1,pass_thr,rho_2,rho_3,rho_4
web_rt,18,2.9989609516904565,0.31440186115769203,0.09184214756697959,1,-0.08608530427245982,1.8961548343877066,2.303319363230695
web_util,18,1.0,0.0,0.0,1,0.0,0.0,0.0
web_thr,18,6.61828825347218,0.724382288831954,-0.6446346587344243,1,-0.7098038454686885,-1.924275792464739,-1.970888752344762
spike0_rt,17,3.160594110166944,0.4023648903754,-0.9110075433715061,1,0.6206224016790928,0.42237306634499155,1.355971944754862
spike0_util,17,1.0,0.0,0.0,1,0.0,0.0,0.0
spike0_thr,17,6.084904474525579,0.5025076129619939,-0.15403954220761296,1,-1.3004322937197281,-0.9910971703945699,-3.5738091657757773
spike1_rt,17,2.820035890459909,0.3749183492613686,0.3584328733003162,0,0.02408575618282467,0.9554996440910299,-0.47324781880931127
spike1_util,17,1.0,0.0,0.0,1,0.0,0.0,0.0
spike1_thr,17,6.346637483187386,0.6691712702858137,0.11906753789282765,1,-0.055162006595946694,0.46100959188594315,0.92816079985643
spike2_rt,16,1.9520749234287602,0.45697978100553416,0.5069745176863927,0,0.08544162943256356,0.739562184038224,0.8116150044258142
spike2_util,16,0.9511239020664889,0.07740716236453246,-0.8758569162477877,1,1.5496149024537305,1.1002055884658852,0.7008189343498321
spike2_thr,16,5.9932596151263935,0.5451757241247114,-1.9803831152417262,1,0.2698245431348005,-0.7695966344069747,-0.42514073773408223
spike3_rt,5,0.8157381921171485,0.11687721785648052,-0.9474945212929913,1,-2.406310906545232,3.8492379720056116,0.8104348607965969
spike3_util,5,0.39954508656402105,0.12855560107676944,0.08146586810629118,1,-0.9276697805359714,0.9893900450071965,-2.0216342208316496
spike3_thr,5,2.4780778509747154,0.7939329137832066,-0.15757177925261437,1,-0.9966325574533109,1.4817265411074914,-1.8432682928445971
mit_rt,811,0.0024157902689923775,0.00022009099592886953,-0.0017214128105132926,1,-0.019031507650151196,-0.05245544368428115,-0.060629526187661674
mit_util,811,0.30375224799297995,0.0352359719908075,0.03968267672768666,1,-0.035430521053912666,-0.054431603480244714,-0.050096555461449054
mit_thr,811,276.30994342969296,30.74519498757346,0.0538923382539086,1,-0.011831088573073013,-0.03820997172703831,-0.07531511075969749
ana_rt,766,0.002451471074128702,6.691113067137332e-05,-0.04044102997956491,1,0.07883960034501747,-0.012272074728521952,0.020794815260299887
ana_util,766,1.0,0.0,0.0,1,0.0,0.0,0.0
ana_thr,766,261.1784739974834,29.039869663464028,0.005407955407253884,1,-0.03732327853264548,0.005568961296166266,-0.0701955524766748
