replica,time,completed_legal_share,completed_illegal_share,processed_legal_share,processed_illegal_share,illegal_share
1,17900.0,1.0196440754881801,9.10580760894876,10.224978654111661,91.7917762729127,89.97669056192672
4,17900.0,1.0117090176012,9.12947146167653,10.19036572052401,91.82147808556807,90.01213096418142
3,17900.0,1.0086544655819298,9.11420526941432,10.20279898368041,91.82812286643676,90.00105971338314
10,17900.0,1.0167289644917,9.11151206049899,10.21680145346245,91.79987352097596,89.98616347937015
2,17900.0,1.01723132853809,9.115618500652591,10.19797291055766,91.823104848161,90.00479049492075
13,17900.0,1.00617511985021,9.11619384251135,10.197070701134269,91.8256063875339,90.00537331978808
5,17900.0,1.01717919873986,9.079185477225451,10.20076864620756,91.83666969982237,90.00148130858842
12,17900.0,1.0065105368091,9.10669626819469,10.220498744320249,91.8038206224397,89.98471173555801
0,17900.0,1.0150269695485599,9.109099203660339,10.20423395077051,91.8210189726078,89.99898109448064
7,17900.0,1.01315533097854,9.114308108199939,10.19413881691998,91.82814489551639,90.007208659116
11,17900.0,1.0142886128514301,9.114442703476989,10.25088985818176,91.77086123028351,89.9527635490972
8,17900.0,1.0116984442936099,9.09059667367465,10.19277800700016,91.83179235119934,90.00838821224629
6,17900.0,1.01476156072548,9.11048518398599,10.20137641948374,91.82197742843276,90.00365749788115
9,17900.0,1.01158663594122,9.10457333211415,10.20346659530578,91.81828057745271,89.99702616388564
14,17900.0,1.02040922687761,9.121309412601759,10.1755113042822,91.85106878422914,90.02953783267064
